date	version	count
2017-10-01	1.28.0 (RC)	2
2017-10-01	1.30.0 (RC)	2
2017-10-01	1.31.0 (WMF)	2
2017-10-01	1.28.0 (ALPHA)	1
2017-10-08	1.28.2	7673
2017-10-08	1.29.1	5790
2017-10-08	1.29.0	4687
2017-10-08	1.28.1	2467
2017-10-08	1.28.0	1879
2017-10-08	1.30.0 (ALPHA)	357
2017-10-08	1.29.0 (ALPHA)	85
2017-10-08	1.31.0 (ALPHA)	79
2017-10-08	1.29.0 (RC)	46
2017-10-08	1.30.0 (WMF)	37
2017-10-08	1.29.0 (WMF)	10
2017-10-08	1.30.0 (RC)	3
2017-10-08	1.28.0 (RC)	2
2017-10-08	1.31.0 (WMF)	2
2017-10-08	1.28.0 (ALPHA)	1
2017-10-15	1.28.2	7722
2017-10-15	1.29.1	6631
2017-10-15	1.29.0	4717
2017-10-15	1.28.1	2467
2017-10-15	1.28.0	1896
2017-10-15	1.30.0 (ALPHA)	354
2017-10-15	1.31.0 (ALPHA)	98
2017-10-15	1.29.0 (ALPHA)	86
2017-10-15	1.29.0 (RC)	44
2017-10-15	1.30.0 (WMF)	35
2017-10-15	1.29.0 (WMF)	10
2017-10-15	1.31.0 (WMF)	5
2017-10-15	1.30.0 (RC)	3
2017-10-15	1.28.0 (RC)	2
2017-10-15	1.28.0 (ALPHA)	1
2017-10-22	1.28.2	7782
2017-10-22	1.29.1	7496
2017-10-22	1.29.0	4741
2017-10-22	1.28.1	2468
2017-10-22	1.28.0	1910
2017-10-22	1.30.0 (ALPHA)	354
2017-10-22	1.31.0 (ALPHA)	118
2017-10-22	1.29.0 (ALPHA)	86
2017-10-22	1.29.0 (RC)	44
2017-10-22	1.30.0 (WMF)	33
2017-10-22	1.29.0 (WMF)	10
2017-10-22	1.31.0 (WMF)	8
2017-10-22	1.30.0 (RC)	4
2017-10-22	1.28.0 (RC)	2
2017-10-22	1.28.0 (ALPHA)	1
2017-10-29	1.29.1	8323
2017-10-29	1.28.2	7853
2017-10-29	1.29.0	4763
2017-10-29	1.28.1	2469
2017-10-29	1.28.0	1917
2017-10-29	1.30.0 (ALPHA)	353
2017-10-29	1.31.0 (ALPHA)	145
2017-10-29	1.29.0 (ALPHA)	86
2017-10-29	1.29.0 (RC)	44
2017-10-29	1.30.0 (WMF)	34
2017-10-29	1.29.0 (WMF)	10
2017-10-29	1.31.0 (WMF)	9
2017-10-29	1.30.0 (RC)	5
2017-10-29	1.28.0 (RC)	2
2017-10-29	1.28.0 (ALPHA)	1
2017-11-05	1.29.1	9262
2017-11-05	1.28.2	7908
2017-11-05	1.29.0	4796
2017-11-05	1.28.1	2469
2017-11-05	1.28.0	1922
2017-11-05	1.30.0 (ALPHA)	353
2017-11-05	1.31.0 (ALPHA)	166
2017-11-05	1.29.0 (ALPHA)	83
2017-11-05	1.29.0 (RC)	44
2017-11-05	1.30.0 (WMF)	34
2017-11-05	1.29.0 (WMF)	10
2017-11-05	1.31.0 (WMF)	9
2017-11-05	1.30.0 (RC)	7
2017-11-05	1.28.0 (RC)	2
2017-11-05	1.28.0 (ALPHA)	1
2017-11-12	1.29.1	9650
2017-11-12	1.28.2	7956
2017-11-12	1.29.0	4784
2017-11-12	1.28.1	2470
2017-11-12	1.28.0	1933
2017-11-12	1.29.2	552
2017-11-12	1.30.0 (ALPHA)	351
2017-11-12	1.31.0 (ALPHA)	186
2017-11-12	1.29.0 (ALPHA)	84
2017-11-12	1.29.0 (RC)	44
2017-11-12	1.30.0 (WMF)	34
2017-11-12	1.29.0 (WMF)	10
2017-11-12	1.31.0 (WMF)	9
2017-11-12	1.30.0 (RC)	8
2017-11-12	1.28.0 (RC)	2
2017-11-12	1.28.3	2
2017-11-12	1.28.0 (ALPHA)	1
2017-11-19	1.29.1	9749
2017-11-19	1.28.2	8010
2017-11-19	1.29.0	4797
2017-11-19	1.28.1	2470
